,Unnamed: 0,2018年01週,2018年02週,2018年03週,2018年04週,2018年05週,2018年06週,2018年07週,2018年08週,2018年09週,2018年10週,2018年11週,2018年12週,2018年13週,2018年14週,2018年15週,2018年16週,2018年17週,2018年18週,2018年19週,2018年20週,2018年21週,2018年22週,2018年23週,2018年24週,2018年25週,2018年26週,2018年27週,2018年28週,2018年29週,2018年30週,2018年31週,2018年32週,2018年33週,2018年34週,2018年35週,2018年36週,2018年37週,2018年38週,2018年39週,2018年40週,2018年41週,2018年42週,2018年43週,2018年44週,2018年45週,2018年46週,2018年47週,2018年48週,2018年49週,2018年50週,2018年51週,2018年52週
0,千代田,68,87,114,167,131,120,83,46,38,21,11,18,5,5,1,2,6,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,2,2,0,0,0,0,0,0,0,3,10,36,36
1,中央区,42,94,201,238,257,205,104,71,55,42,24,15,8,5,6,2,4,0,2,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,1,1,1,4,4,0,1,3,6,26,37
2,みなと,91,158,356,411,414,243,152,144,110,74,68,28,15,14,8,7,8,3,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,3,6,9,10,11,3,7,8,31,62,95
3,新宿区,152,226,453,433,435,346,219,183,123,83,51,32,29,22,14,8,7,10,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,1,12,9,5,6,21,18,61,119
4,文京,90,128,335,399,300,235,177,104,82,54,41,18,14,3,1,1,2,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,1,0,1,8,15,67,66
5,台東,32,96,274,250,259,220,94,78,48,36,22,15,11,5,4,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,9,10,0,0,1,0,2,2,0,9,4,12,22,86
6,墨田区,123,164,334,289,335,254,140,100,85,57,48,17,11,8,8,7,2,0,2,3,2,2,0,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,1,4,0,0,0,1,3,1,1,4,5,10,47,97
7,江東区,120,263,576,606,695,532,282,231,149,112,69,39,18,12,12,17,8,4,0,1,1,1,1,0,5,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5,3,13,9,34,108,131
8,品川区,41,107,262,286,337,260,120,89,97,60,43,23,8,9,3,12,12,3,1,1,1,0,2,1,0,1,1,0,0,0,0,0,0,1,1,0,1,3,1,0,2,1,2,1,0,1,8,3,20,33,79,103
9,目黒区,52,116,258,312,287,196,124,115,72,52,46,23,6,3,6,16,6,0,0,0,3,2,9,0,0,0,0,4,1,5,1,2,1,0,1,0,0,0,2,0,3,3,0,0,6,3,1,2,5,35,95,101
10,大田区,136,380,878,1073,976,666,460,338,209,171,103,32,23,16,16,20,13,3,3,2,5,6,1,0,2,1,0,0,0,0,0,0,1,2,0,0,0,6,10,8,3,11,4,6,21,34,13,37,105,157,278,332
11,世田谷,260,486,1064,1080,1272,967,526,425,367,228,172,88,70,27,23,21,29,13,9,13,18,9,8,6,2,0,2,2,0,0,2,0,3,0,0,4,1,7,9,12,8,13,8,12,30,29,25,23,34,47,179,220
12,渋谷区,31,85,230,191,211,158,101,68,41,28,21,9,8,9,3,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,5,12,21,38,79
13,中野区,122,274,472,514,485,432,275,218,133,87,52,30,18,10,10,23,7,5,2,3,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,1,2,2,2,3,1,11,22,33,21,33,50,125,126
14,杉並,113,290,642,659,830,605,265,264,201,112,67,36,23,19,18,23,21,2,7,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,4,1,1,21,50,95,250,228
15,池袋,46,136,268,258,291,200,103,86,71,51,29,20,15,4,4,12,9,1,3,0,1,3,0,0,3,0,0,0,0,0,1,0,0,1,0,0,1,1,1,3,1,0,1,0,1,10,0,1,7,11,33,57
16,北区,97,283,522,567,502,427,207,195,150,82,61,38,21,11,5,2,1,2,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,2,1,0,0,0,1,0,4,12,14,11,8,23,64,111
17,荒川区,112,177,417,398,365,255,147,154,81,61,38,39,16,6,4,2,2,1,2,6,5,6,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,1,4,4,0,0,2,0,6,2,5,21,44,23,81,121
18,板橋区,138,214,487,521,621,406,266,162,127,95,50,35,23,18,10,7,16,2,1,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,18,21,12,1,3,1,1,0,0,1,2,2,15,38,25,137,117
19,練馬区,161,422,971,1082,1137,782,402,337,238,162,104,46,35,20,14,9,4,4,2,1,5,5,3,5,3,0,0,1,2,0,2,0,0,0,0,1,0,0,1,0,0,0,1,1,6,11,8,14,28,113,222,217
20,足立,205,502,996,1026,933,661,392,293,232,126,75,72,88,26,23,30,10,0,4,0,1,7,0,1,3,2,3,0,0,0,0,0,1,0,0,1,7,8,0,8,2,2,0,0,2,1,2,45,41,42,93,154
