,Unnamed: 0,2020年01週,2020年02週,2020年03週,2020年04週,2020年05週,2020年06週,2020年07週,2020年08週,2020年09週,2020年10週,2020年11週,2020年12週,2020年13週,2020年14週,2020年15週,2020年16週,2020年17週,2020年18週,2020年19週,2020年20週,2020年21週,2020年22週,2020年23週,2020年24週,2020年25週,2020年26週,2020年27週,2020年28週,2020年29週,2020年30週,2020年31週,2020年32週,2020年33週,2020年34週,2020年35週,2020年36週,2020年37週,2020年38週,2020年39週,2020年40週,2020年41週,2020年42週,2020年43週,2020年44週,2020年45週,2020年46週,2020年47週,2020年48週,2020年49週,2020年50週,2020年51週,2020年52週,2020年53週,2021年01週,2021年02週
0,千代田,0,45,34,50,36,14,8,7,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,中央区,8,44,35,37,31,26,20,13,16,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,みなと,9,103,75,59,58,45,31,35,30,15,7,11,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1
3,新宿区,84,171,139,117,102,56,44,40,27,20,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,文京,32,109,87,104,92,58,108,57,37,23,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,台東,19,86,59,51,49,52,65,34,18,11,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
6,墨田区,83,103,73,85,86,56,32,27,21,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,江東区,16,189,154,155,140,94,37,29,34,35,23,17,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,品川区,1,84,65,75,59,26,21,15,27,16,10,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,目黒区,15,95,96,86,76,49,44,65,38,16,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,大田区,19,234,186,242,266,128,80,55,79,51,29,11,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
11,世田谷,115,313,304,425,365,256,208,183,151,104,32,14,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,0,0,0,0
12,渋谷区,13,64,62,57,48,23,18,17,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,中野区,69,195,141,152,106,63,55,53,36,8,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
